year,fragility_scalar,Children out of school (% of primar,"Primary completion rate, total (% o",Survival rate to the last grade of ,"Total net enrolment rate, primary, "
2000,0.2522,65.05,23.82,61.34,34.95
2001,0.2512,63.94,25.18,58.33,36.06
2002,0.2365,64.78,25.97,66.56,35.22
2003,0.2192,62.36,27.53,69.22,37.64
2004,0.2089,60.15,28.9,68.93,39.85
2005,0.1968,55.31,30.48,64.44,44.69
2006,0.1661,51.73,31.85,72.02,48.27
2007,0.1486,46.49,33.97,69.0,53.51
2008,0.115,40.54,37.68,71.14,59.46
2009,0.1088,37.61,42.54,63.63,62.39
2010,0.114,41.03,45.96,63.63,58.97
2011,0.0871,36.48,45.96,68.97,63.52
2012,0.0626,35.58,55.9,69.07,64.42
2013,0.0481,34.69,60.85,69.5,65.31
2014,0.0537,33.76,59.6,66.24,66.24
2015,0.0426,32.5,60.34,68.81,67.5
2016,0.0301,27.23,60.13,65.64,72.77
2017,0.0178,26.4,61.59,68.84,73.6
2018,0.0338,24.45,62.61,55.92,75.55
2019,0.0437,25.8,61.61,54.45,74.2
2020,0.0381,28.52,61.87,62.06,71.48
2021,0.0674,29.06,63.74,46.03,70.94
2022,0.1198,32.25,58.29,31.03,67.75
2023,0.1689,41.97,51.69,31.03,58.03
2024,0.1404,34.29,51.99,31.03,65.71
